socks4://201.184.239.75:5678,CO,Medell?n
http://190.7.138.78:8080,CO,Unknown
http://186.96.111.214:999,CO,Unknown
http://170.239.205.185:999,CO,Unknown
http://181.143.42.138:8080,CO,Unknown
http://190.242.157.215:8080,CO,Cali
http://181.79.81.104:8080,CO,Unknown
http://200.29.232.230:8080,CO,Unknown
http://181.119.84.80:999,CO,Unknown
http://190.61.61.210:999,CO,Unknown
http://177.93.49.202:999,CO,Unknown
http://179.1.234.30:999,CO,Unknown
http://181.119.84.218:8080,CO,Unknown
http://38.199.68.142:999,CO,Unknown
http://181.119.84.219:8080,CO,Unknown
http://181.225.96.137:999,CO,Unknown
http://207.230.8.66:999,CO,Unknown
http://190.60.59.181:999,CO,Unknown
http://209.14.114.14:999,CO,Unknown
http://38.224.21.1:999,CO,Unknown
http://38.191.200.66:999,CO,Unknown
http://38.191.203.229:999,CO,Unknown
http://181.78.20.11:999,CO,Unknown
http://207.230.8.74:999,CO,Unknown
http://177.73.155.246:999,CO,Unknown
http://45.167.124.248:999,CO,Unknown
http://24.152.58.154:999,CO,Unknown
http://38.191.204.78:999,CO,Unknown
http://38.191.214.251:999,CO,Unknown
http://209.14.119.68:999,CO,Unknown
http://204.199.120.30:999,CO,Unknown
socks4://181.129.182.138:5678,CO,Bucaramanga
